Stad,Praktijk naam,Adres,Telefoon,Email,Openingstijden,Google profiel
Zaandam,Huisartsenpraktijk R. Scholten,"Twiskeweg 102, 1503 AC Zaandam",075-6160482,—,—,https://www.google.com/maps/search/?api=1&query=Huisarts+Scholten+Twiskeweg+102+Zaandam
Zaandam,Huisartsenpraktijk Poelenburg,"Dodonaeusstraat 24, 1504 KJ Zaandam",075-6176101,—,Ma-Vr 08:00-12:00 en 13:30-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Poelenburg+Dodonaeusstraat+24+Zaandam
Zaandam,Huisartsenmaatschap Bil & van Boeijen,"Noorderven 77, 1504 AL Zaandam",075-6164820,—,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Bil+en+van+Boeijen+Noorderven+77+Zaandam
Zaandam,Huisartsenpraktijk F. Broekema,"Noorderven 71, 1504 AL Zaandam",075-6163931,frbroekema@live.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Broekema+Noorderven+71+Zaandam
Zaandam,Huisartsenpraktijk Brouwer & de Reijger,"Noorderven 73, 1504 AL Zaandam",075-6162465,brouwerendereijger@praktijkinfo.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Brouwer+de+Reijger+Noorderven+73+Zaandam
Zaandam,Huisartsenpraktijk Kiel (Summertown MC),"E. Heimanshof 5, 1504 JA Zaandam",075-6165808,assistente@summertown.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Kiel+E+Heimanshof+5+Zaandam
Zaandam,Huisartsenpraktijk van Loenen,"Dr. C.W.H. van Raaltenpark 3, 1506 LW Zaandam",075-6169873,info@gezinsdokter.com,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+van+Loenen+van+Raaltenpark+3+Zaandam
Zaandam,Huisartsenpraktijk Niemeijer & Brouwer,"Irene Vorrinkplein 40-E, 1506 WR Zaandam",075-6163972,hapniemeijerenbrouwer@ezorg.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Niemeijer+Brouwer+Irene+Vorrinkplein+40+Zaandam
Zaandam,Huisartsenpraktijk Lind (vanaf 2026: De Zaanstroom),"Irene Vorrinkplein 40-F, 1506 WR Zaandam",075-6163463,praktijklind@ezorg.nl,Ma-Vr 08:00-17:00 (di avondspreekuur tot 18:15),https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Lind+Irene+Vorrinkplein+40+Zaandam
Zaandam,Huisartsenpraktijk de Roos,"Irene Vorrinkplein 40-H, 1506 WR Zaandam",075-6702824,deroos@ezorg.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+de+Roos+Irene+Vorrinkplein+40+Zaandam
Zaandam,Huisartsenpraktijk Hertel,"Irene Vorrinkplein 40, 1506 WR Zaandam",075-6169525,praktijkhertel@outlook.com,Assistente ma-vr 08:00-12:30,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Hertel+Irene+Vorrinkplein+40+Zaandam
Zaandam,Huisartsenpraktijk Stelder,"Irene Vorrinkplein 40-K, 1506 WR Zaandam",075-2071060,—,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Stelder+Irene+Vorrinkplein+40+Zaandam
Zaandam,SH Huisartsen (van der Lugt & Kuschbert),"Edamstraat 59-61, 1507 JB Zaandam",075-6170185,—,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=SH+Huisartsen+Edamstraat+59+Zaandam
Zaandam,Huisartsenpraktijk Nieuwendam (Dr. Hidalgo),"Nieuwendamstraat 2-B, 1507 JE Zaandam",075-6356377,p.hidalgo@zorgring.nl,Ma-Vr 08:00-17:00 (dicht 12:00-13:00),https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Nieuwendam+Nieuwendamstraat+2+Zaandam
Zaandam,Huisartsenpraktijk Timmer,"Ereprijsweg 5, 1508 CT Zaandam",075-6163857,—,Ma-Vr 08:00-17:00 (sinds apr 2025 gefuseerd met Mehrzad),https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Timmer+Ereprijsweg+5+Zaandam
Zaandam,Huisartsenpraktijk Mehrzad,"Koningsdiep 2, 1509 WD Zaandam",075-6171793,a.mehrzad@zorgring.nl,Ma-Vr 08:00-17:00,https://www.google.com/maps/search/?api=1&query=Huisartsenpraktijk+Mehrzad+Koningsdiep+2+Zaandam
Zaandam,Huisartsenpraktijk Roelandschap,"Reitdiep 22-A, 1509 XZ Zaandam",075-6159848,—,—,https://www.google.com/maps/search/?api=1&query=Huisarts+Roelandschap+Reitdiep+22+Zaandam
